STATIONSAFKORTING,STATIONS_NAAM,GEMEENTE,REGIO_RSV_NAAM,REGIO_SSVO_NAAM,IND_BACKUP_VENS,IND_STANDPLAATS_VENS,GELDIGVANAF,GELDIGTM,IND_HUIDIG
Hdr,Den Helder,Den Helder,RSV Randstad Noord,Alkmaar,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Bnk,Bunnik,Bunnik,RSV Randstad Noord,Utrecht,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Asdm,Amsterdam Muiderpoort,Amsterdam,RSV Randstad Noord,Amsterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Zwd,Zwijndrecht,Zwijndrecht,RSV Randstad Zuid,Rotterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Nkk,Nijkerk,Nijkerk,RSV Noord-Oost,Amersfoort,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Sgl,Houthem-St.Gerlach,Valkenburg aan de Geul,RSV Zuid,Zuid- en Midden-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Llzm,Lansingerland-Zoetermeer,Lansingerland,RSV Randstad Zuid,Den Haag,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Lc,Lochem,Lochem,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Sgn,Schagen,Schagen,RSV Randstad Noord,Alkmaar,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Brd,Barendrecht,Barendrecht,RSV Randstad Zuid,Rotterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Lwc,Leeuwarden Camminghaburen,Leeuwarden,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hlgh,Harlingen Haven,Harlingen,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hr,Heerenveen,Heerenveen,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
